CM-13	Data Action Mapping	None
CM-14	Signed Components	None
CP-1	Contingency Planning Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
CP-2	Contingency Plan	7.5.1, 7.5.2, 7.5.3, A.5.2, A.5.29, A.8.14
CP-3	Contingency Training	A.6.3*
CP-4	Contingency Plan Testing	A.5.29, A.5.30*
CP-5	Withdrawn	---
CP-6	Alternate Storage Site	A.5.29*, A.7.5*, A.8.14*
CP-7	Alternate Processing Site	A.5.29*, A.7.5*, A.8.14*
CP-8	Telecommunications Services	A.5.29*, A.7.11
CP-9	System Backup	A.5.29*, A.5.33*, A.8.13
CP-10	System Recovery and Reconstitution	A.5.29*
CP-11	Alternate Communications Protocols	A.5.29*
CP-12	Safe Mode	None
CP-13	Alternative Security Mechanisms	A.5.29*
IA-1	Identification and Authentication Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
IA-2	Identification and Authentication (Organizational Users)	A.5.16
IA-3	Device Identification and Authentication	None
IA-4	Identifier Management	A.5.16
IA-5	Authenticator Management	A.5.16, A.5.17
IA-6	Authentication Feedback	A.8.5*
IA-7	Cryptographic Module Authentication	None
IA-8	Identification and Authentication (Non-Organizational Users)	A.5.16
IA-9	Service Identification and Authentication	None
IA-10	Adaptive Identification and Authentication	None
IA-11	Re-authentication	None
IA-12	Identity Proofing	None
IR-1	Incident Response Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
IR-2	Incident Response Training	A.6.3*
IR-3	Incident Response Testing	None
IR-4	Incident Handling	A.5.25, A.5.26, A.5.27
IR-5	Incident Monitoring	None
IR-6	Incident Reporting	A.5.5*, A.6.8
IR-7	Incident Response Assistance	None
IR-8	Incident Response Plan	7.5.1, 7.5.2, 7.5.3, A.5.24
IR-9	Information Spillage Response	None
IR-10	Withdrawn	---
MA-1	System Maintenance Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.37, A.18.1.1, A.18.2.2
MA-2	Controlled Maintenance	A.7.10*, A.7.13*, A.8.10*
MA-3	Maintenance Tools	None
MA-4	Nonlocal Maintenance	None
MA-5	Maintenance Personnel	None
MA-6	Timely Maintenance	A.7.13
MA-7	Field Maintenance	None
MP-1	Media Protection Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
MP-2	Media Access	A.5.10*, A.7.7*, A.7.10*
MP-3	Media Marking	A.5.13
MP-4	Media Storage	A.5.10*, A.7.7*, A.7.10, A.8.10*
MP-5	Media Transport	A.5.10*, A.7.9, A.7.10
MP-6	Media Sanitization	A.5.10, A.7.10*, A.7.14, A.8.10
MP-7	Media Use	A.5.10, A.7.10
MP-8	Media Downgrading	None
PE-1	Physical and Environmental Protection Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
PE-2	Physical Access Authorizations	A.7.2*
PE-3	Physical Access Control	A.7.1, A.7.2, A.7.3, A.7.4
PE-4	Access Control for Transmission Medium	A.7.2, A.7.12
PE-5	Access Control for Output Devices	A.7.2, A.7.3, A.7.7
PE-6	Monitoring Physical Access	A.7.4, A.8.16*
PE-7	Withdrawn	---
PE-8	Visitor Access Records	None
PE-9	Power Equipment and Cabling	A.7.5, A.7.8, A.7.11, A.7.12
PE-10	Emergency Shutoff	A.7.11*
PE-11	Emergency Power	A.7.11
PE-12	Emergency Lighting	A.7.11*
PE-13	Fire Protection	A.7.5, A.7.8
PE-14	Environmental Controls	A.7.5, A.7.8, A.7.11
PE-15	Water Damage Protection	A.7.5, A.7.8, A.7.11
PE-16	Delivery and Removal	A.5.10*, A.7.2*, A.7.10*
PE-17	Alternate Work Site	A.5.14*, A.6.7, A.7.9
PE-18	Location of System Components	A.5.10*, A.7.5, A.7.8
PE-19	Information Leakage	A.7.5*, A.7.8*, A.8.12
PE-20	Asset Monitoring and Tracking	A.5.10*
PE-21	Electromagnetic Pulse Protection	None
PE-22	Component Marking	A.5.13
PE-23	Facility Location	A.7.5, A.7.8
PL-1	Planning Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
PL-2	System Security and Privacy Plans	7.5.1, 7.5.2, 7.5.3, 10.2, A.5.8*
PL-3	Withdrawn	---
PL-4	Rules of Behavior	A.5.4, A.5.10, A.6.2*
PL-5	Withdrawn	---
PL-6	Withdrawn	---
PL-7	Concept of Operations	8.1, A.5.8*
PL-8	Security and Privacy Architectures	A.5.8*
PL-9	Central Management	None
PL-10	Baseline Selection	None
PL-11	Baseline Tailoring	None
PM-1	Information Security Program Plan	4.1, 4.2, 4.3, 4.4, 5.2, 5.3, 6.1.1, 6.2, 7.4, 7.5.1, 7.5.2, 7.5.3, 8.1, 9.3.1*, 10.1, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36
PM-2	Information Security Program Leadership Role	5.1, 5.3, A.5.2
PM-3	Information Security and Privacy Resources	5.1, 6.2, 7.1
PM-4	Plan of Action and Milestones Process	6.1.1, 6.2, 7.5.1, 7.5.2, 7.5.3, 8.3, 9.3.2*, 10.2
PM-5	System Inventory	None
PM-6	Measures of Performance	5.3, 6.1.1, 6.2, 9.1
PM-7	Enterprise Architecture	None
PM-8	Critical Infrastructure Plan	None
PM-9	Risk Management Strategy	4.3, 4.4, 6.1.1, 6.1.2, 6.2, 7.5.1, 7.5.2, 7.5.3, 10.1
PM-10	Authorization Process	A.5.2*
PM-11	Mission and Business Process Definition	4.1
PM-12	Insider Threat Program	None
PM-13	Security and Privacy Workforce	7.2, A.6.3*
PM-14	Testing, Training, and Monitoring	6.2*
PM-15	Security and Privacy Groups and Associations	7.4, A.5.6
PM-16	Threat Awareness Program	A.5.7
PM-17	Protecting Controlled Unclassified Information on External Systems	None
PM-18	Privacy Program Plan	A.5.4
PM-19	Privacy Program Leadership Role	None
PM-20	Dissemination of Privacy Program Information	None
PM-21	Accounting of Disclosures	None
PM-22	Personally Identifiable Information Quality Management	None
PM-23	Data Governance Body	None
PM-24	Data Integrity Board	None
PM-25	Minimization of Personally Identifiable Information Used in Testing, Training, and Research	None
PM-26	Complaint Management	None
PM-27	Privacy Reporting	None
PM-28	Risk Framing	4.3, 6.1.2, 6.2, 7.4, 7.5.1, 7.5.2, 7.5.3
PM-29	Risk Management Program Leadership Roles	5.1, 5.3, 9.3.1*, A.5.2
PM-30	Supply Chain Risk Management Strategy	4.4, 6.2, 7.5.1, 7.5.2, 7.5.3, 10.2*
PM-31	Continuous Monitoring Strategy	4.4, 6.2, 7.4, 7.5.1, 7.5.2, 7.5.3, 9.1, 9.2.2*, 10.1, 10.2
PM-32	Purposing	None
PS-1	Personnel Security Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
PS-2	Position Risk Designation	None
PS-3	Personnel Screening	A.6.1
PS-4	Personnel Termination	A.5.11, A.6.5
PS-5	Personnel Transfer	A.5.11, A.6.5
PS-6	Access Agreements	A.5.4*, A.6.2, A.6.6*
PS-7	External Personnel Security	A.5.2, A.5.4*
PS-8	Personnel Sanctions	7.3, A.6.4
PS-9	Position Descriptions	A.5.2
PT-1	Personally Identifiable Information Processing and Transparency Policy and Procedures	A.5.4
PT-2	Authority to Process Personally Identifiable Information	None
PT-3	Personally Identifiable Information Processing Purposes	None
PT-4	Consent	None
PT-5	Privacy Notice	None
PT-6	System of Records Notice	None
PT-7	Specific Categories of Personally Identifiable Information	None
PT-8	Computer Matching Requirements	None
RA-1	Risk Assessment Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
RA-2	Security Categorization	A.5.12*
RA-3	Risk Assessment	6.1.2, 8.2, 9.3.2*, A.8.8*
RA-4	Withdrawn	---
RA-5	Vulnerability Monitoring and Scanning	A.8.8*
RA-6	Technical Surveillance Countermeasures Survey	None
RA-7	Risk Response	6.1.3, 8.3, 10.2
RA-8	Privacy Impact Assessments	None
RA-9	Criticality Analysis	A.5.22*
RA-10	Threat Hunting	A.5.7*
SA-1	System and Services Acquisition Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, 8.1, A.5.1, A.5.2, A.5.4, A.5.23, A.5.31, A.5.36, A.5.37
SA-2	Allocation of Resources	None
SA-3	System Development Life Cycle	A.5.2*, A.5.8, A.8.25, A.8.31*
SA-4	Acquisition Process	8.1, A.5.8, A.5.20, A.5.23, A.8.29, A.8.30
SA-5	System Documentation	7.5.1, 7.5.2, 7.5.3, A.5.37*
SA-6	Withdrawn	---
SA-7	Withdrawn	---
SA-8	Security Engineering Principles	A.8.27, A.8.28*
SA-9	External System Services	A.5.2*, A.5.4*, A.5.8*, A.5.14*, A.5.22, A.5.23, A.8.21
SA-10	Developer Configuration Management	A.8.9, A.8.28*, A.8.30*, A.8.32
SA-11	Developer Testing and Evaluation	A.8.29, A.8.30*
SA-12	Withdrawn	---
SA-13	Withdrawn	---
SA-14	Withdrawn	---
SA-15	Development Process, Standards, and Tools	A.5.8*, A.8.25
SA-16	Developer-Provided Training	None
SA-17	Developer Security and Privacy Architecture and Design	A.8.25, A.8.27
SA-18	Withdrawn	---
SA-19	Withdrawn	---
SA-20	Customized Development of Critical Components	None
SA-21	Developer Screening	A.6.1
SA-22	Unsupported System Components	None
SA-23	Specialization	None
SC-1	System and Communications Protection Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
SC-2	Separation of System and User Functionality	None
SC-3	Security Function Isolation	None
SC-4	Information In Shared System Resources	None
SC-5	Denial-of Service-Protection	None
SC-6	Resource Availability	None
SC-7	Boundary Protection	A.5.14*, A.8.16*, A.8.20*, A.8.22*, A.8.23*, A.8.26*
SC-8	Transmission Confidentiality and Integrity	A.5.10*, A.5.14, A.8.20*, A.8.26*
SC-9	Withdrawn	---
SC-10	Network Disconnect	A.8.20
SC-11	Trusted Path	None
SC-12	Cryptographic Key Establishment and Management	A.8.24
SC-13	Cryptographic Protection	A.8.24, A.8.26, A.5.31
SC-14	Withdrawn	---
SC-15	Collaborative Computing Devices and Applications	A.5.14*
SC-16	Transmission of Security and Privacy Attributes	None
SC-17	Public Key Infrastructure Certificates	A.8.24
SC-18	Mobile Code	None
SC-19	Withdrawn	None
SC-20	Secure Name/Address Resolution Service (Authoritative Source)	None
SC-21	Secure Name/Address Resolution Service (Recursive or Caching Resolver)	None
SC-22	Architecture and Provisioning for Name/Address Resolution Service	None
SC-23	Session Authenticity	None
SC-24	Fail in Known State	None
SC-25	Thin Nodes	None
SC-26	Decoys	None
SC-27	Platform-Independent Applications	None
SC-28	Protection of Information at Rest	A.5.10*
SC-29	Heterogeneity	None
SC-30	Concealment and Misdirection	None
SC-31	Covert Channel Analysis	None
SC-32	System Partitioning	None
SC-33	Withdrawn	---
SC-34	Non-Modifiable Executable Programs	None
SC-35	External Malicious Code Identification	None
SC-36	Distributed Processing and Storage	None
SC-37	Out-of-Band Channels	None
SC-38	Operations Security	A.8.x
SC-39	Process Isolation	None
SC-40	Wireless Link Protection	None
SC-41	Port and I/O Device Access	None
SC-42	Sensor Capability and Data	None
SC-43	Usage Restrictions	None
SC-44	Detonation Chambers	None
SC-45	System Time Synchronization	None
SC-46	Cross Domain Policy Enforcement	None
SC-47	Alternate Communications Paths	None
SC-48	Sensor Relocation	None
SC-49	Hardware-Enforced Separation and Policy Enforcement	None
SC-50	Software-Enforced Separation and Policy Enforcement	None
SC-51	Hardware-Based Protection	None
SI-1	System and Information Integrity Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
SI-2	Flaw Remediation	A.6.8*, A.8.8, A.8.32*
SI-3	Malicious Code Protection	A.8.7
SI-4	System Monitoring	A.8.16*
SI-5	Security Alerts, Advisories, and Directives	A.5.6*
SI-6	Security and Privacy Function Verification	None
SI-7	Software, Firmware, and Information Integrity	None
SI-8	Spam Protection	None
SI-9	Withdrawn	---
SI-10	Information Input Validation	None
SI-11	Error Handling	None
SI-12	Information Management and Retention	None
SI-13	Predictable Failure Prevention	None
SI-14	Non-Persistence	None
SI-15	Information Output Filtering	None
SI-16	Memory Protection	None
SI-17	Fail-Safe Procedures	None
SI-18	Personally Identifiable Information Quality Operations	None
SI-19	De-identification	None
SI-20	Tainting	A.8.12
SI-21	Information Refresh	A.8.10
SI-22	Information Diversity	None
SI-23	Information Fragmentation	None
SR-1	Supply Chain Risk Management Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.19, A.5.31, A.5.36, A.5.37
SR-2	Supply Chain Risk Management Plan	A.5.19, A.5.20*, A.5.21*, A.8.30*
SR-3	Supply Chain Controls and Processes	A.5.20, A.5.21*
SR-4	Provenance	A.5.21*, A.8.30*
SR-5	Acquisition Strategies, Tools, and Methods	A.5.20, A.5.21, A.5.23
SR-6	Supplier Assessments and Reviews	A.5.22
SR-7	Supply Chain Operations Security	A.5.22*
SR-8	Notification Agreements	None
SR-9	Tamper Resistance and Detection	None
SR-10	Inspection of Systems or Components	None
SR-11	Component Authenticity	None
SR-12	Component Disposal	None
